711DUMANGAS_,03/18/2025 10:04:39 PM,03/18/2025,10C5919F3786,202201400230,02001995750322,310.0
G-XCHANGE INC (MYNT),03/18/2025 10:03:11 PM,03/18/2025,B877833BD804,301401800030,03000623830322,565.0
G-XCHANGE INC (MYNT),03/18/2025 10:02:27 PM,03/18/2025,0733FD22CBD0,250702500780,02500339640322,645.87
G-XCHANGE INC (MYNT),03/18/2025 10:00:37 PM,03/18/2025,8066C3F939B6,201800200040,02001935690322,2006.2
G-XCHANGE INC (MYNT),03/18/2025 10:00:11 PM,03/18/2025,3F5F833DD919,400700500140,04000104720322,295.0
G-XCHANGE INC (MYNT),03/18/2025 09:55:39 PM,03/18/2025,6F6F0B753239,350600800290,03000756630322,354.0
PALAWANPAY,03/18/2025 09:55:00 PM,03/18/2025,3832F48371C9,401600500270,04000250460322,295.0
G-XCHANGE INC (MYNT),03/18/2025 09:48:06 PM,03/18/2025,BDA5CD22CED3,210101100100,02100090000322,170.0
G-XCHANGE INC (MYNT),03/18/2025 09:47:42 PM,03/18/2025,D627495E238E,450001600090,04500015070322,255.0
G-XCHANGE INC (MYNT),03/18/2025 09:45:53 PM,03/18/2025,58C316B18AC1,250700801030,02500218770322,244.1
G-XCHANGE INC (MYNT),03/18/2025 09:44:03 PM,03/18/2025,B15C7943B44D,400901700100,04000168530322,294.0
G-XCHANGE INC (MYNT),03/18/2025 09:41:36 PM,03/18/2025,AD4CD7FEF9F0,2503008000,02500135130322,904.0
G-XCHANGE INC (MYNT),03/18/2025 09:40:13 PM,03/18/2025,A9372FC03637,2526003016,06767605451231,5500.0
G-XCHANGE INC (MYNT),03/18/2025 09:39:33 PM,03/18/2025,69B313A7810F,2508032204,06712618181231,1896.0
G-XCHANGE INC (MYNT),03/18/2025 09:38:31 PM,03/18/2025,B6DEA652643A,2404260032,07111304901231,1560.0
G-XCHANGE INC (MYNT),03/18/2025 09:36:46 PM,03/18/2025,8C6FE9DFF4F1,301601100090,03001331400322,230.0
G-XCHANGE INC (MYNT),03/18/2025 09:36:35 PM,03/18/2025,E354CA41CAD0,400400200050,04000073230322,235.0
G-XCHANGE INC (MYNT),03/18/2025 09:33:36 PM,03/18/2025,71D452894CD0,250902200080,02500465940322,268.0
G-XCHANGE INC (MYNT),03/18/2025 09:31:51 PM,03/18/2025,AAA49C1451E7,400901600090,04000167990322,600.0
G-XCHANGE INC (MYNT),03/18/2025 09:28:11 PM,03/18/2025,3962ED1553E9,251200600040,02500559840322,820.0
G-XCHANGE INC (MYNT),03/18/2025 09:27:20 PM,03/18/2025,334A267301CD,301700013030,03000934080322,1206.7
G-XCHANGE INC (MYNT),03/18/2025 09:26:13 PM,03/18/2025,246E35A40FF9,201101500020,02001715810322,455.4
G-XCHANGE INC (MYNT),03/18/2025 09:25:13 PM,03/18/2025,38230D8BBFC2,350801900200,03001358010322,240.0
G-XCHANGE INC (MYNT),03/18/2025 09:22:15 PM,03/18/2025,93584BDE01BC,301402100390,03000865090322,892.8
G-XCHANGE INC (MYNT),03/18/2025 09:15:23 PM,03/18/2025,77C906259F3A,402300200230,04000518450322,410.4
PALAWANPAY,03/18/2025 09:14:29 PM,03/18/2025,020BAA114878,401801100040,04000278390322,295.0
G-XCHANGE INC (MYNT),03/18/2025 09:14:21 PM,03/18/2025,46C6BBE31FA8,210200800010,02100049040322,170.0
G-XCHANGE INC (MYNT),03/18/2025 09:11:57 PM,03/18/2025,B21CE3892153,2919001574,06764724261231,2155.0
G-XCHANGE INC (MYNT),03/18/2025 09:09:07 PM,03/18/2025,5B46A61FB7F4,200601300570,02001625230322,857.0
PALAWANPAY,03/18/2025 09:07:20 PM,03/18/2025,94C590DBB080,401801200140,04000281770322,519.7
G-XCHANGE INC (MYNT),03/18/2025 09:07:09 PM,03/18/2025,CD1C68E93BB4,201900100160,02001943870322,557.1
G-XCHANGE INC (MYNT),03/18/2025 09:05:58 PM,03/18/2025,C6B3E1293CFA,250700900270,02500220750322,370.0
G-XCHANGE INC (MYNT),03/18/2025 09:05:47 PM,03/18/2025,6E17EA3FDBF8,450200800100,04500072540322,898.53
G-XCHANGE INC (MYNT),03/18/2025 09:04:56 PM,03/18/2025,2910512E038C,201101600130,02001719990322,234.0
G-XCHANGE INC (MYNT),03/18/2025 09:03:59 PM,03/18/2025,41F7C09F70F8,202201500320,02001999900322,555.0
PALAWANPAY,03/18/2025 09:03:16 PM,03/18/2025,2688B45CA825,410900200210,04000512170322,727.3
G-XCHANGE INC (MYNT),03/18/2025 09:00:02 PM,03/18/2025,CF5206701670,293509400150,06123843800402,1417.2
G-XCHANGE INC (MYNT),03/18/2025 08:59:52 PM,03/18/2025,78ACD6D6B9D2,201900100300,02001944410322,234.0
